09410;4030;1997;2033
09411;165;68;97
09412;896;402;494
09413;459;210;249
09414;196;77;119
09415;333;147;186
09416;46;15;31
09417;39;17;22
09418;81;41;40
09419;67;22;45
09421;260;110;150
09422;24;10;14
09423;25;10;15
09424;37;14;23
09425;528;233;295
09427;1478;661;817
09428;100;46;54
09429;57;17;40
09430;28;11;17
09431;116;46;70
09432;154;62;92
09433;52;22;30
09434;1856;878;978
09437;299;134;165
09438;714;336;378
09439;1462;675;787
09440;86;32;54
09441;95;40;55
09442;423;195;228
09443;160;80;80
09444;61;29;32
09445;45;12;33
09446;9;3;6
09447;44;17;27
09448;223;88;135
09449;118;51;67
09450;24;9;15
09451;284;137;147
09454;43;15;28
09455;46;20;26
09456;151;71;80
09458;717;326;391
09460;172;75;97
09463;278;109;169
09464;46;22;24
09466;115;46;69
09467;74;23;51
09471;210;102;108
09472;54;24;30
09473;94;43;51
09476;69;24;45
09478;47;12;35
09480;121;60;61
09482;32;11;21
09483;199;96;103
09485;57;27;30
09901;343;153;190
09902;476;198;278
09903;3942;1913;2029
09904;536;220;316
09905;417;178;239
09906;1392;605;787
09907;2201;1042;1159
09908;497;213;284
31001;3500;1500;2000
31002;2;1;1
